Taille,Bubble,Insertion,Selection,Quick,Merge,Heap,Shell,Comb,Counting,Radix,Intro
1000,0.000908,0.000290,0.002733,0.000098,0.000271,0.000105,0.000126,0.000109,0.001748,0.000031,0.000071
2000,0.002933,0.000936,0.008629,0.000151,0.000442,0.000193,0.000240,0.000218,0.001369,0.000053,0.000133
4000,0.009066,0.002706,0.024677,0.000239,0.000678,0.000326,0.000406,0.000344,0.001118,0.000085,0.000247
8000,0.029738,0.009615,0.097838,0.000531,0.001355,0.000704,0.000886,0.000757,0.001187,0.000161,0.000492
16000,,,,0.001088,0.002719,0.001546,0.001982,0.001585,0.001203,0.000323,0.001007
32000,,,,0.002354,0.005658,0.003460,0.004556,0.003520,0.001567,0.000654,0.002182
64000,,,,0.004955,0.011291,0.007430,0.009957,0.007577,0.001883,0.001299,0.004491
128000,,,,0.010383,0.023139,0.016388,0.022310,0.015751,0.002714,0.002630,0.009688
256000,,,,0.022259,0.047411,0.036171,0.050459,0.034354,0.004244,0.005416,0.020689
512000,,,,0.046870,0.095895,0.079496,0.115629,0.073538,0.007986,0.011116,0.042794
1000000,,,,0.093060,0.192815,0.170697,0.197281,0.146675,0.011231,0.021621,0.089606
10000000,,,,1.008586,2.107132,4.884276,2.736941,1.668632,,0.227286,0.974849
20000000,,,,2.096567,4.303002,14.882698,5.754238,3.448013,,0.456844,1.988016
